// Schedule File for Pro Strategy Football 2024,,
,,
// This schedule includes all the matchups by week and team ids.,,
// You can include bye weeks for a team by simply not providing a matchup for a week.,,
// You can provide an optional description of the schedule to help you search for it.,,
,,
** description: NFL 2024,,
,,
// Format: week, home, visitor
,,
** matchup: 1,30,21
** matchup: 1,3,7
** matchup: 1,9,24
** matchup: 1,17,13
** matchup: 1,5,28
** matchup: 1,22,19
** matchup: 1,26,25
** matchup: 1,18,27
** matchup: 1,11,10
** matchup: 1,2,8
** matchup: 1,32,31
** matchup: 1,16,29
** matchup: 1,23,1
** matchup: 1,12,4
** matchup: 1,6,14
** matchup: 1,15,20
** matchup: 2,18,17
** matchup: 2,10,32
** matchup: 2,1,11
** matchup: 2,6,12
** matchup: 2,7,26
** matchup: 2,27,23
** matchup: 2,8,15
** matchup: 2,19,16
** matchup: 2,28,20
** matchup: 2,21,31
** matchup: 2,4,2
** matchup: 2,13,14
** matchup: 2,29,24
** matchup: 2,30,22
** matchup: 2,25,5
** matchup: 2,3,9
** matchup: 3,20,19
** matchup: 3,23,2
** matchup: 3,26,5
** matchup: 3,8,25
** matchup: 3,11,3
** matchup: 3,28,7
** matchup: 3,24,32
** matchup: 3,12,29
** matchup: 3,31,10
** matchup: 3,16,18
** matchup: 3,13,6
** matchup: 3,1,21
** matchup: 3,14,15
** matchup: 3,9,30
** matchup: 3,17,27
** matchup: 3,22,4
** matchup: 4,2,1
** matchup: 4,9,11
** matchup: 4,10,22
** matchup: 4,5,14
** matchup: 4,26,24
** matchup: 4,7,8
** matchup: 4,25,27
** matchup: 4,20,29
** matchup: 4,12,3
** matchup: 4,13,4
** matchup: 4,15,19
** matchup: 4,31,23
** matchup: 4,32,30
** matchup: 4,21,17
** matchup: 4,18,28
** matchup: 4,6,16
** matchup: 5,9,12
** matchup: 5,8,20
** matchup: 5,5,10
** matchup: 5,22,21
** matchup: 5,25,17
** matchup: 5,27,26
** matchup: 5,19,18
** matchup: 5,4,23
** matchup: 5,29,31
** matchup: 5,15,13
** matchup: 5,14,7
** matchup: 5,16,2
** matchup: 5,24,1
** matchup: 5,30,11
** matchup: 6,16,15
** matchup: 6,5,27
** matchup: 6,7,13
** matchup: 6,11,12
** matchup: 6,19,25
** matchup: 6,28,26
** matchup: 6,3,23
** matchup: 6,21,4
** matchup: 6,29,32
** matchup: 6,31,24
** matchup: 6,10,9
** matchup: 6,1,6
** matchup: 6,2,22
** matchup: 6,20,17
** matchup: 7,11,29
** matchup: 7,27,19
** matchup: 7,9,16
** matchup: 7,17,28
** matchup: 7,23,22
** matchup: 7,26,18
** matchup: 7,7,25
** matchup: 7,8,6
** matchup: 7,2,3
** matchup: 7,14,31
** matchup: 7,4,10
** matchup: 7,15,30
** matchup: 7,24,20
** matchup: 7,12,21
** matchup: 7,13,32
** matchup: 8,14,8
** matchup: 8,23,21
** matchup: 8,6,28
** matchup: 8,25,26
** matchup: 8,27,7
** matchup: 8,18,13
** matchup: 8,19,20
** matchup: 8,12,9
** matchup: 8,4,5
** matchup: 8,32,11
** matchup: 8,16,17
** matchup: 8,22,3
** matchup: 8,29,10
** matchup: 8,31,30
** matchup: 8,15,1
** matchup: 8,24,2
** matchup: 9,20,25
** matchup: 9,9,1
** matchup: 9,17,18
** matchup: 9,10,11
** matchup: 9,22,31
** matchup: 9,23,32
** matchup: 9,8,26
** matchup: 9,2,4
** matchup: 9,28,19
** matchup: 9,21,29
** matchup: 9,13,5
** matchup: 9,7,6
** matchup: 9,16,14
** matchup: 9,3,27
** matchup: 9,30,12
** matchup: 10,21,22
** matchup: 10,10,2
** matchup: 10,5,19
** matchup: 10,26,17
** matchup: 10,27,8
** matchup: 10,30,29
** matchup: 10,11,9
** matchup: 10,12,15
** matchup: 10,4,24
** matchup: 10,32,28
** matchup: 10,13,20
** matchup: 10,1,3
** matchup: 10,25,6
** matchup: 10,14,18
** matchup: 11,3,4
** matchup: 11,5,7
** matchup: 11,6,27
** matchup: 11,18,31
** matchup: 11,11,23
** matchup: 11,19,14
** matchup: 11,28,8
** matchup: 11,24,21
** matchup: 11,29,9
** matchup: 11,15,16
** matchup: 11,17,30
** matchup: 11,32,22
** matchup: 11,20,26
** matchup: 11,1,25
** matchup: 12,23,24
** matchup: 12,10,30
** matchup: 12,5,8
** matchup: 12,26,6
** matchup: 12,25,28
** matchup: 12,18,19
** matchup: 12,2,12
** matchup: 12,4,1
** matchup: 12,31,29
** matchup: 12,7,15
** matchup: 12,16,13
** matchup: 12,14,3
** matchup: 12,32,21
** matchup: 13,6,5
** matchup: 13,1,2
** matchup: 13,7,18
** matchup: 13,30,31
** matchup: 13,9,32
** matchup: 13,22,24
** matchup: 13,27,25
** matchup: 13,8,13
** matchup: 13,19,26
** matchup: 13,20,16
** matchup: 13,4,28
** matchup: 13,10,12
** matchup: 13,11,14
** matchup: 13,21,3
** matchup: 13,17,15
** matchup: 13,29,23
** matchup: 14,6,7
** matchup: 14,18,20
** matchup: 14,8,9
** matchup: 14,2,11
** matchup: 14,28,27
** matchup: 14,3,10
** matchup: 14,24,23
** matchup: 14,12,31
** matchup: 14,13,16
** matchup: 14,14,17
** matchup: 14,15,5
** matchup: 14,30,32
** matchup: 14,1,22
** matchup: 15,15,14
** matchup: 15,10,1
** matchup: 15,23,30
** matchup: 15,25,18
** matchup: 15,27,20
** matchup: 15,11,4
** matchup: 15,2,21
** matchup: 15,28,22
** matchup: 15,13,19
** matchup: 15,29,26
** matchup: 15,6,17
** matchup: 15,3,24
** matchup: 15,32,12
** matchup: 15,16,7
** matchup: 15,8,5
** matchup: 15,31,9
** matchup: 16,22,23
** matchup: 16,30,25
** matchup: 16,21,24
** matchup: 16,9,2
** matchup: 16,17,19
** matchup: 16,10,13
** matchup: 16,5,6
** matchup: 16,26,28
** matchup: 16,20,14
** matchup: 16,4,3
** matchup: 16,32,29
** matchup: 16,16,8
** matchup: 16,18,15
** matchup: 16,31,27
** matchup: 16,1,12
** matchup: 16,7,11
** matchup: 17,24,30
** matchup: 17,25,21
** matchup: 17,5,16
** matchup: 17,17,20
** matchup: 17,22,29
** matchup: 17,27,28
** matchup: 17,8,7
** matchup: 17,11,31
** matchup: 17,19,32
** matchup: 17,2,26
** matchup: 17,14,13
** matchup: 17,12,10
** matchup: 17,4,9
** matchup: 17,3,1
** matchup: 17,23,18
** matchup: 17,15,6
** matchup: 18,9,10
** matchup: 18,26,27
** matchup: 18,13,15
** matchup: 18,1,4
** matchup: 18,29,30
** matchup: 18,6,8
** matchup: 18,7,5
** matchup: 18,19,17
** matchup: 18,20,18
** matchup: 18,28,25
** matchup: 18,3,2
** matchup: 18,24,22
** matchup: 18,31,32
** matchup: 18,14,16
** matchup: 18,21,23
** matchup: 18,12,11
